"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","COMMON","Degree","degree.layout","Eccentricity","gal1RGexp","gal1RGsig","gal4RGexp","gal4RGsig","gal80Rexp","gal80Rsig","isExcludedFromPaths","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"81084","11.64516129","0.00806452","0.08587258","0.0","CDC25","2","2","22","0.015","0.67137","-0.037","0.41028","-0.071","0.25519","false","false","YLR310C","1.5","2","0","0","0.60573477","false","0","YLR310C","1010","0.5"
"81085","12.64112903","0.0","0.07910686","0.0","RAS2","1","1","23","0.05","0.20515","0.062","0.23242","0.293","1.0426E-4","false","false","YNL098C","2.0","1","0","0","0.56884707","false","0","YNL098C","0","0.0"
"81086","11.33870968","0.0","0.08819346","0.0","UGA1","1","1","23","-0.163","0.0086582","0.234","0.0011998","-0.258","6.2171E-5","false","false","YGR019W","3.0","1","0","0","0.61708483","false","0","YGR019W","0","0.0"
"81087","11.33870968","0.0","0.08819346","0.0","GLN1","1","1","23","-0.197","2.3885E-5","-1.06","2.9298E-9","-0.172","0.036009","false","false","YPR035W","3.0","1","0","0","0.61708483","false","0","YPR035W","0","0.0"
"81088","10.34274194","0.01609638","0.09668616","0.0","GLN3","3","3","22","0.098","0.38375","-0.513","0.010321","0.537","0.0018683","false","false","YER040W","1.66666667","3","0","0","0.65397252","false","0","YER040W","5118","0.33333333"
"81089","6.83064516","0.00806452","0.14639906","0.0","PMA1","2","2","16","-0.352","1.0007E-5","-0.282","7.1366E-4","-0.573","1.2622E-6","false","false","YGL008C","9.5","2","0","0","0.78405018","false","0","YGL008C","1032","0.5"
"81090","8.24193548","0.13339563","0.12133072","0.06666667","PEP12","6","6","17","0.071","0.092135","0.037","0.43055","0.491","1.6313E-6","false","false","YOR036W","2.0","6","0","0","0.73178017","false","0","YOR036W","13532","0.22222222"
"81091","9.22983871","0.00806452","0.10834426","0.0","PEP7","2","2","18","0.164","0.10243","0.0","0.999999","0.052","0.69287","false","false","YDR323C","3.5","2","0","0","0.69519116","false","0","YDR323C","618","0.5"
"81092","10.08064516","1.632E-5","0.0992","0.0","PDR3","2","2","20","-0.0","0.64313","0.0","0.999999","0.0","0.999999","false","false","YBL005W","2.0","2","0","0","0.66367981","false","0","YBL005W","2","1.0"
"81093","6.78225806","0.00806452","0.14744352","0.33333333","CDC28","3","3","16","-0.016","0.7432","-0.087","0.32105","-0.405","0.026081","false","false","YBR160W","7.33333333","3","0","0","0.78584229","false","0","YBR160W","1030","0.36842105"
"81094","7.77822581","0.0","0.12856402","0.0","HSL1","1","1","17","-0.01","0.96433","0.78","1.6928E-9","0.439","0.0030233","false","false","YKL101W","3.0","1","0","0","0.7489546","false","0","YKL101W","0","0.0"
"81095","9.09274194","0.00401593","0.10997783","0.0","HXT11","2","2","19","0.298","8.1828E-6","0.462","5.1939E-5","0.105","0.28091","false","false","YOL156W","2.5","2","0","0","0.70026882","false","0","YOL156W","1028","0.75"
"81096","9.09274194","0.00401593","0.10997783","0.0","HXT9","2","2","19","0.298","5.6008E-6","0.592","1.6899E-9","-0.162","0.097946","false","false","YJL219W","2.5","2","0","0","0.70026882","false","0","YJL219W","1028","0.75"
"81097","7.3266129","0.01334058","0.13648872","0.0","SPA2","2","2","15","-0.155","3.4013E-4","0.05","0.23036","-0.036","0.62229","false","false","YLL021W","6.5","2","0","0","0.765681","false","0","YLL021W","1028","0.5"
"81098","12.5766129","0.0","0.07951266","0.0","PFK27","1","1","25","-0.646","1.9054E-8","-0.086","0.39614","-0.472","0.0081753","false","false","YOL136C","2.0","1","0","0","0.57123656","false","0","YOL136C","0","0.0"
"81099","11.58064516","0.00806452","0.08635097","0.0","PRP21","2","2","24","0.083","0.13783","-0.46","6.541E-4","0.401","0.0046881","false","false","YJL203W","2.0","2","0","0","0.60812425","false","0","YJL203W","2604","0.5"
"81100","9.09274194","0.00401593","0.10997783","0.0","AUT1","2","2","19","0.078","0.061024","0.196","3.1083E-4","0.161","0.10191","false","false","YNR007C","2.5","2","0","0","0.70026882","false","0","YNR007C","1028","0.75"
"81101","6.82258065","2.449E-5","0.1465721","0.66666667","STE2","3","3","16","-0.653","1.3644E-10","-0.396","4.1738E-6","-0.74","2.884E-14","false","false","YFL026W","9.33333333","3","0","0","0.78434886","false","0","YFL026W","6","0.49122807"
