"SUID","EdgeBetweenness","interaction","name","selected","shared interaction","shared name"
"81301","496.0","pp","YKL161C (pp) YPL089C","false","pp","YKL161C (pp) YPL089C"
"81302","739.0","pd","YAR007C (pd) YPL111W","false","pd","YAR007C (pd) YPL111W"
"81303","249.0","pp","YAR007C (pp) YML032C","false","pp","YAR007C (pp) YML032C"
"81304","12.0","pp","YDR142C (pp) YIL160C","false","pp","YDR142C (pp) YIL160C"
"81305","8.0","pp","YDR142C (pp) YGL153W","false","pp","YDR142C (pp) YGL153W"
"81306","12.0","pp","YDR244W (pp) YDL078C","false","pp","YDR244W (pp) YDL078C"
"81307","12.0","pp","YDR244W (pp) YDR142C","false","pp","YDR244W (pp) YDR142C"
"81308","7.0","pp","YDR244W (pp) YNL214W","false","pp","YDR244W (pp) YNL214W"
"81309","4.0","pp","YDR244W (pp) YGL153W","false","pp","YDR244W (pp) YGL153W"
"81310","7.0","pp","YDR244W (pp) YLR191W","false","pp","YDR244W (pp) YLR191W"
"81311","988.0","pp","YDR167W (pp) YLR432W","false","pp","YDR167W (pp) YLR432W"
"81312","496.0","pp","YLR175W (pp) YNL307C","false","pp","YLR175W (pp) YNL307C"
"81313","496.0","pd","YNL117W (pd) YJL089W","false","pd","YNL117W (pd) YJL089W"
"81314","496.0","pp","YOR089C (pp) YDR323C","false","pp","YOR089C (pp) YDR323C"
"81315","5.0","pp","YNL214W (pp) YGL153W","false","pp","YNL214W (pp) YGL153W"
"81316","3206.08455433","pp","YBR135W (pp) YER102W","false","pp","YBR135W (pp) YER102W"
"81317","6.0","pp","YER110C (pp) YML007W","false","pp","YER110C (pp) YML007W"
"81318","5.0","pp","YLR191W (pp) YGL153W","false","pp","YLR191W (pp) YGL153W"
"81319","248.5","pp","YOL149W (pp) YOR167C","false","pp","YOL149W (pp) YOR167C"
"81320","496.0","pp","YMR044W (pp) YIL061C","false","pp","YMR044W (pp) YIL061C"
"81321","2.0","pp","YNL113W (pp) YPR110C","false","pp","YNL113W (pp) YPR110C"
"81322","496.0","pd","YDR354W (pd) YEL009C","false","pd","YDR354W (pd) YEL009C"
"81323","2.0","pp","YKL211C (pp) YER090W","false","pp","YKL211C (pp) YER090W"
"81324","19180.22220002","pd","YDR146C (pd) YGL035C","false","pd","YDR146C (pd) YGL035C"
"81325","19179.59362859","pd","YDR146C (pd) YMR043W","false","pd","YDR146C (pd) YMR043W"
"81326","2361.73260073","pd","YER111C (pd) YMR043W","false","pd","YER111C (pd) YMR043W"
"81327","4.0","pp","YOR039W (pp) YOR303W","false","pp","YOR039W (pp) YOR303W"
"81328","496.0","pd","YML024W (pd) YNL216W","false","pd","YML024W (pd) YNL216W"
"81329","988.0","pp","YIL113W (pp) YHR030C","false","pp","YIL113W (pp) YHR030C"
"81330","496.0","pp","YLL019C (pp) YIL113W","false","pp","YLL019C (pp) YIL113W"
"81331","615.77575758","pd","YDR009W (pd) YGL035C","false","pd","YDR009W (pd) YGL035C"
"81332","143.37575758","pp","YML051W (pp) YDR009W","false","pp","YML051W (pp) YDR009W"
"81333","135.97575758","pp","YML051W (pp) YBR020W","false","pp","YML051W (pp) YBR020W"
"81334","496.0","pp","YPL031C (pp) YHR071W","false","pp","YPL031C (pp) YHR071W"
"81335","496.0","pd","YML123C (pd) YFR034C","false","pd","YML123C (pd) YFR034C"
"81336","2.0","pp","YMR058W (pp) YER145C","false","pp","YMR058W (pp) YER145C"
"81337","2.0","pp","YML074C (pp) YJL190C","false","pp","YML074C (pp) YJL190C"
"81338","2356.12454212","pp","YOR355W (pp) YNL091W","false","pp","YOR355W (pp) YNL091W"
"81339","496.0","pp","YFL038C (pp) YOR036W","false","pp","YFL038C (pp) YOR036W"
"81340","887.73076923","pd","YIL162W (pd) YNL167C","false","pd","YIL162W (pd) YNL167C"
"81341","496.0","pp","YER133W (pp) YBR050C","false","pp","YER133W (pp) YBR050C"
"81342","496.0","pp","YER133W (pp) YMR311C","false","pp","YER133W (pp) YMR311C"
"81343","496.0","pp","YER133W (pp) YOR315W","false","pp","YER133W (pp) YOR315W"
"81344","7242.0","pp","YER133W (pp) YOR178C","false","pp","YER133W (pp) YOR178C"
"81345","11988.0","pp","YER133W (pp) YDR412W","false","pp","YER133W (pp) YDR412W"
"81346","2.0","pp","YFR037C (pp) YOR290C","false","pp","YFR037C (pp) YOR290C"
"81347","988.0","pd","YFR034C (pd) YBR093C","false","pd","YFR034C (pd) YBR093C"
"81348","381.0","pd","YAL040C (pd) YMR043W","false","pd","YAL040C (pd) YMR043W"
"81349","4.0","pp","YGR048W (pp) YPL222W","false","pp","YGR048W (pp) YPL222W"
"81350","4.0","pp","YMR291W (pp) YGL115W","false","pp","YMR291W (pp) YGL115W"
"81351","5785.28291708","pp","YGR009C (pp) YBL050W","false","pp","YGR009C (pp) YBL050W"
"81352","4025.28291708","pp","YGR009C (pp) YDR335W","false","pp","YGR009C (pp) YDR335W"
"81353","739.0","pp","YGR009C (pp) YOR327C","false","pp","YGR009C (pp) YOR327C"
"81354","739.0","pp","YGR009C (pp) YAL030W","false","pp","YGR009C (pp) YAL030W"
"81355","496.0","pp","YMR183C (pp) YGR009C","false","pp","YMR183C (pp) YGR009C"
"81356","2.0","pp","YGL161C (pp) YDR100W","false","pp","YGL161C (pp) YDR100W"
"81357","2.0","pp","YDL063C (pp) YPL131W","false","pp","YDL063C (pp) YPL131W"
"81358","611.26923077","pd","YNL167C (pd) YOR202W","false","pd","YNL167C (pd) YOR202W"
"81359","4.0","pp","YHR115C (pp) YOR215C","false","pp","YHR115C (pp) YOR215C"
"81360","4.0","pp","YEL041W (pp) YHR115C","false","pp","YEL041W (pp) YHR115C"
"81361","2.0","pp","YJL036W (pp) YDL113C","false","pp","YJL036W (pp) YDL113C"
"81362","8.0","pp","YBR109C (pp) YFR014C","false","pp","YBR109C (pp) YFR014C"
"81363","12.0","pp","YBR109C (pp) YOR326W","false","pp","YBR109C (pp) YOR326W"
"81364","8.0","pp","YOL016C (pp) YBR109C","false","pp","YOL016C (pp) YBR109C"
"81365","6.0","pp","YNL311C (pp) YKL001C","false","pp","YNL311C (pp) YKL001C"
"81366","4592.87952048","pp","YLR319C (pp) YLR362W","false","pp","YLR319C (pp) YLR362W"
"81367","496.0","pp","YNL189W (pp) YPR062W","false","pp","YNL189W (pp) YPR062W"
"81368","2598.55641026","pp","YNL189W (pp) YER065C","false","pp","YNL189W (pp) YER065C"
"81369","1960.0","pp","YNL189W (pp) YPL111W","false","pp","YNL189W (pp) YPL111W"
"81370","496.0","pp","YNL189W (pp) YDL236W","false","pp","YNL189W (pp) YDL236W"
"81371","496.0","pp","YBL069W (pp) YGL008C","false","pp","YBL069W (pp) YGL008C"
"81372","1476.0","pd","YGL073W (pd) YER103W","false","pd","YGL073W (pd) YER103W"
"81373","981.0","pd","YGL073W (pd) YHR055C","false","pd","YGL073W (pd) YHR055C"
"81374","981.0","pd","YGL073W (pd) YHR053C","false","pd","YGL073W (pd) YHR053C"
"81375","4320.0","pp","YGL073W (pp) YOR178C","false","pp","YGL073W (pp) YOR178C"
"81376","496.0","pd","YBR072W (pd) YGL073W","false","pd","YBR072W (pd) YGL073W"
"81377","988.0","pp","YLR321C (pp) YDR412W","false","pp","YLR321C (pp) YDR412W"
"81378","3388.0","pp","YPR048W (pp) YDL215C","false","pp","YPR048W (pp) YDL215C"
"81379","2162.02930403","pp","YPR048W (pp) YOR355W","false","pp","YPR048W (pp) YOR355W"
"81380","3624.18315018","pp","YNL199C (pp) YPR048W","false","pp","YNL199C (pp) YPR048W"
"81381","1846.76542347","pd","YPL075W (pd) YOL086C","false","pd","YPL075W (pd) YOL086C"
"81382","1846.76542347","pd","YPL075W (pd) YDR050C","false","pd","YPL075W (pd) YDR050C"
"81383","11094.32880453","pp","YPL075W (pp) YNL199C","false","pp","YPL075W (pp) YNL199C"
"81384","1846.76542347","pd","YPL075W (pd) YHR174W","false","pd","YPL075W (pd) YHR174W"
"81385","1846.76542347","pd","YPL075W (pd) YGR254W","false","pd","YPL075W (pd) YGR254W"
"81386","2034.76542347","pd","YPL075W (pd) YCR012W","false","pd","YPL075W (pd) YCR012W"
"81387","8.0","pp","YFL039C (pp) YHR179W","false","pp","YFL039C (pp) YHR179W"
